run_key,backbone,model,hidden_layer,task,density,scale,seed,metric,score,mean_density,elapsed_sec
mbert_final|cola|abs06|rms|s5,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,rms,5,mcc,39.06,0.59561,128.05
mbert_final|cola|q05|none|s1,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,none,1,mcc,38.2,0.05031,132.58
mbert_final|cola|q05|none|s2,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,none,2,mcc,39.13,0.05028,134.94
mbert_final|cola|q05|none|s3,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,none,3,mcc,39.97,0.05135,133.64
mbert_final|cola|q05|none|s4,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,none,4,mcc,23.79,0.05051,132.94
mbert_final|cola|q05|none|s5,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,none,5,mcc,37.01,0.05002,135.37
mbert_final|cola|q05|median|s1,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,median,1,mcc,34.31,0.05022,134.36
mbert_final|cola|q05|median|s2,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,median,2,mcc,38.49,0.04931,135.62
mbert_final|cola|q05|median|s3,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,median,3,mcc,39.6,0.05099,134.09
mbert_final|cola|q05|median|s4,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,median,4,mcc,38.18,0.0502,133.48
mbert_final|cola|q05|median|s5,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,median,5,mcc,37.27,0.05012,135.35
mbert_final|cola|q05|rms|s1,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,rms,1,mcc,34.67,0.05061,134.13
mbert_final|cola|q05|rms|s2,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,rms,2,mcc,38.7,0.04963,133.98
mbert_final|cola|q05|rms|s3,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,rms,3,mcc,39.44,0.05125,134.67
mbert_final|cola|q05|rms|s4,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,rms,4,mcc,36.75,0.05026,133.28
mbert_final|cola|q05|rms|s5,mbert_final,answerdotai/ModernBERT-base,-1,cola,q05,rms,5,mcc,38.5,0.05022,135.44
roberta_final|cola|abs06|none|s1,roberta_final,roberta-base,-1,cola,abs06,none,1,mcc,53.53,0.99086,142.78
roberta_final|cola|abs06|none|s2,roberta_final,roberta-base,-1,cola,abs06,none,2,mcc,53.32,0.99161,125.67
roberta_final|cola|abs06|none|s3,roberta_final,roberta-base,-1,cola,abs06,none,3,mcc,49.87,0.9879,127.26
roberta_final|cola|abs06|none|s4,roberta_final,roberta-base,-1,cola,abs06,none,4,mcc,54.96,0.98898,126.33
roberta_final|cola|abs06|none|s5,roberta_final,roberta-base,-1,cola,abs06,none,5,mcc,50.29,0.99124,127.32
roberta_final|cola|abs06|median|s1,roberta_final,roberta-base,-1,cola,abs06,median,1,mcc,53.11,0.99086,130.54
roberta_final|cola|abs06|median|s2,roberta_final,roberta-base,-1,cola,abs06,median,2,mcc,53.43,0.99161,127.76
roberta_final|cola|abs06|median|s3,roberta_final,roberta-base,-1,cola,abs06,median,3,mcc,51.02,0.9879,129.5
roberta_final|cola|abs06|median|s4,roberta_final,roberta-base,-1,cola,abs06,median,4,mcc,54.32,0.98898,126.73
roberta_final|cola|abs06|median|s5,roberta_final,roberta-base,-1,cola,abs06,median,5,mcc,50.82,0.99124,126.58
roberta_final|cola|abs06|rms|s1,roberta_final,roberta-base,-1,cola,abs06,rms,1,mcc,52.9,0.99086,126.86
